host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
98%,55%,0,749,749,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$199.00 ,,$100.00 ,1,$0.00 ,2,1125,25,55,85,175,3,93,9,9,10,10,10,8,0,0,strict,0,0,136
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$300.00 ,,$50.00 ,1,$0.00 ,3,1125,28,58,88,363,14,85,9,8,10,10,10,8,0,0,strict,0,0,1
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$249.00 ,$300.00 ,$100.00 ,1,$0.00 ,3,1125,2,8,31,299,26,98,10,10,10,10,10,10,0,0,strict,0,0,1
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,7,2,3,4,Real Bed,$167.00 ,,$136.00 ,1,$0.00 ,2,1125,25,55,85,360,5,92,10,9,9,8,10,10,0,0,strict,0,0,25
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$400.00 ,"$1,000.00 ",$75.00 ,1,$50.00 ,1,1125,28,58,88,88,1,80,8,10,10,10,10,8,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, facebook, manual_offline, jumio",1,1,1,Private room,4,1,1,2,Real Bed,$400.00 ,,,1,$0.00 ,3,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,99%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,6,1,2,3,Real Bed,$285.00 ,$300.00 ,$100.00 ,4,$45.00 ,2,1125,5,11,29,119,10,90,9,9,9,9,10,9,0,0,moderate,0,0,4
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$250.00 ,$500.00 ,,4,$75.00 ,2,1125,0,0,0,0,11,97,10,10,9,10,10,10,0,0,moderate,0,0,1
100%,93%,0,12,12,"phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$175.00 ,"$1,000.00 ",$150.00 ,1,$0.00 ,7,30,0,0,0,82,5,92,9,9,10,10,10,9,0,0,strict,0,0,10
100%,57%,0,2,2,"email, phone, reviews, kba",1,1,0,Private room,1,1,1,1,Real Bed,$110.00 ,,,1,$0.00 ,3,60,30,60,90,365,9,91,9,10,10,10,10,9,0,0,strict,1,1,1
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$179.00 ,$400.00 ,$95.00 ,1,$10.00 ,3,1125,11,27,54,100,12,90,9,10,10,10,10,9,0,1,strict,0,0,58
100%,67%,1,2,2,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$400.00 ,,$120.00 ,1,$0.00 ,2,1125,7,14,44,319,34,97,10,10,10,10,10,10,0,0,flexible,0,0,1
100%,67%,0,15,15,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$289.00 ,,,1,$0.00 ,4,1125,10,36,66,66,41,94,10,10,10,10,9,9,0,0,moderate,0,0,10
100%,100%,0,2,2,"email, phone, amex, reviews, jumio",1,1,1,Shared room,2,1,1,2,Airbed,$103.00 ,$250.00 ,,1,$10.00 ,2,1125,0,0,0,0,12,95,9,10,9,10,10,9,0,1,strict,0,0,2
97%,95%,0,4,4,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,0,2,Real Bed,$107.00 ,$100.00 ,$50.00 ,2,$20.00 ,2,1125,2,3,5,8,78,89,9,9,9,10,10,9,0,0,strict,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,0,Private room,4,1,1,2,Real Bed,$400.00 ,,,0,$0.00 ,4,7,0,0,0,8,1,100,10,10,8,8,10,8,0,1,moderate,0,0,1
N/A,N/A,0,1,1,"email, phone, facebook",1,0,1,Entire home/apt,4,1,1,1,Real Bed,$175.00 ,,$20.00 ,1,$0.00 ,3,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,7,1,2,4,Real Bed,$265.00 ,,$60.00 ,1,$0.00 ,1,1125,0,0,0,0,38,77,8,8,8,7,9,8,0,1,strict,0,0,1
100%,96%,0,2,2,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,3,1,0,1,Real Bed,$220.00 ,$300.00 ,$60.00 ,2,$20.00 ,2,1125,6,11,41,312,12,98,10,10,10,10,10,9,0,0,strict,0,0,2
97%,84%,0,11,11,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$199.00 ,$500.00 ,$125.00 ,1,$0.00 ,3,1125,5,18,48,138,9,91,10,10,9,9,10,9,0,0,strict,0,0,7
97%,100%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,0,1,Real Bed,$220.00 ,$95.00 ,$40.00 ,2,$20.00 ,1,30,5,21,51,324,81,81,9,9,9,9,9,8,0,0,moderate,0,0,4
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$160.00 ,,$225.00 ,1,$0.00 ,7,1125,1,19,49,324,6,93,10,10,10,9,10,9,0,0,strict,0,0,50
100%,56%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$230.00 ,,$25.00 ,2,$10.00 ,5,1125,0,6,36,36,6,100,10,10,10,10,10,9,0,0,strict,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$209.00 ,,$150.00 ,1,$0.00 ,5,1125,18,48,78,168,0,,,,,,,,0,0,super_strict_30,0,1,79
100%,99%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$285.00 ,$300.00 ,$100.00 ,4,$0.00 ,2,1125,5,8,36,127,37,91,9,10,10,10,10,9,0,0,moderate,0,0,4
100%,99%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$265.00 ,$100.00 ,$60.00 ,1,$0.00 ,1,1125,0,0,0,66,101,93,10,10,10,10,10,9,0,0,moderate,0,0,4
100%,33%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,2,Real Bed,$185.00 ,$200.00 ,$50.00 ,2,$25.00 ,1,1125,0,9,39,39,14,95,10,10,10,10,9,9,0,0,strict,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$225.00 ,,,1,$0.00 ,1,1125,0,0,0,0,2,100,10,10,10,10,10,10,0,0,flexible,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$249.00 ,,$150.00 ,1,$0.00 ,4,365,29,59,89,364,0,,,,,,,,0,0,super_strict_30,0,1,79
98%,55%,0,749,749,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$169.00 ,,$100.00 ,1,$0.00 ,3,1125,26,56,86,172,0,,,,,,,,0,0,strict,0,0,136
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$325.00 ,,$30.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,moderate,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Private room,2,1,1,1,Real Bed,$250.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,61%,0,3,3,"email, phone, reviews",1,0,0,Entire home/apt,3,1,0,2,Real Bed,$206.00 ,$100.00 ,$35.00 ,2,$35.00 ,2,1125,19,49,79,354,15,87,9,9,10,10,10,9,0,0,strict,0,0,3
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$189.00 ,$400.00 ,$95.00 ,1,$0.00 ,3,1125,6,22,52,79,4,85,6,9,10,8,9,9,0,1,strict,0,0,58
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$400.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, kba",1,0,1,Entire home/apt,4,1.5,2,2,Real Bed,$299.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,1,1,"phone, reviews",1,0,0,Shared room,2,1,1,1,Real Bed,$150.00 ,,,1,$0.00 ,1,1125,21,47,77,77,3,100,10,10,10,10,10,10,0,0,moderate,0,0,1
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$209.00 ,$400.00 ,$95.00 ,1,$0.00 ,3,1125,0,0,0,2,0,,,,,,,,0,1,strict,0,0,58
98%,55%,0,749,749,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$199.00 ,,$100.00 ,1,$0.00 ,3,1125,29,59,89,179,2,80,5,9,8,7,9,9,0,0,strict,0,0,136
100%,93%,0,12,12,"phone, reviews",1,0,1,Entire home/apt,3,1,1,1,Real Bed,$154.00 ,"$1,000.00 ",$250.00 ,0,$0.00 ,30,365,0,0,0,248,18,91,10,9,10,9,10,10,0,0,moderate,0,0,10
97%,63%,0,2,2,"email, phone, reviews, jumio",1,1,1,Private room,8,1,1,2,Real Bed,$70.00 ,,$15.00 ,1,$50.00 ,1,1125,28,55,85,360,5,64,6,6,6,8,6,6,0,0,strict,0,0,2
63%,100%,0,1,1,"email, phone",1,0,0,Entire home/apt,4,1,2,2,Real Bed,$199.00 ,$300.00 ,,1,$0.00 ,10,30,0,0,0,0,0,,,,,,,,0,1,flexible,0,0,1
100%,95%,0,4,4,"email, phone, reviews, jumio",1,1,0,Entire home/apt,6,2,2,3,Real Bed,$425.00 ,,,1,$0.00 ,1,1125,17,44,74,349,0,,,,,,,,0,0,moderate,0,0,4
98%,94%,0,3,3,"email, phone, reviews",1,0,1,Shared room,1,1,1,1,Pull-out Sofa,$99.00 ,,,1,$0.00 ,1,1125,18,48,78,353,0,,,,,,,,0,0,moderate,0,0,3
98%,55%,0,749,749,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$169.00 ,,$100.00 ,1,$0.00 ,3,1125,29,59,89,175,1,100,10,10,10,10,10,10,0,0,strict,0,0,136
N/A,N/A,0,1,1,"email, phone",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$399.00 ,,,1,$0.00 ,7,7,0,7,7,9,0,,,,,,,,0,0,strict,0,0,1
N/A,N/A,0,1,1,"email, phone, jumio",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$400.00 ,,$80.00 ,1,$0.00 ,3,10,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
98%,55%,0,749,749,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$199.00 ,,$100.00 ,1,$0.00 ,2,1125,26,56,86,176,1,100,8,10,10,10,10,10,0,0,strict,0,0,136
98%,55%,0,749,749,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$199.00 ,,$100.00 ,1,$0.00 ,3,1125,29,59,89,175,0,,,,,,,,0,0,strict,0,0,136
98%,94%,0,3,3,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$80.00 ,,,1,$0.00 ,1,1125,10,36,62,337,1,100,10,8,10,10,10,10,0,0,moderate,0,0,3
97%,84%,0,11,11,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$150.00 ,$500.00 ,$125.00 ,1,$10.00 ,3,1125,10,26,56,331,20,88,10,9,9,9,10,9,0,0,strict,0,0,7
97%,84%,0,11,11,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,3,Real Bed,$235.00 ,$500.00 ,$135.00 ,3,$10.00 ,3,1125,4,18,40,304,34,96,10,10,9,10,10,9,0,0,strict,0,0,7
97%,84%,0,11,11,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1.5,1,1,Real Bed,$175.00 ,$500.00 ,$125.00 ,1,$0.00 ,3,365,8,31,61,151,13,80,9,9,8,8,10,9,0,0,strict,0,0,7
100%,100%,0,1,1,"email, phone, google, linkedin, reviews, kba",1,1,1,Entire home/apt,4,1,1,1,Real Bed,$550.00 ,,$60.00 ,1,$0.00 ,2,1125,0,0,0,0,0,,,,,,,,0,1,strict,0,0,1
100%,100%,0,2,2,"email, phone, reviews, kba",0,0,1,Entire home/apt,4,1,1,2,Real Bed,$250.00 ,"$1,000.00 ",,2,$150.00 ,10,600,30,60,90,365,38,93,9,10,9,10,10,9,0,0,strict,1,1,1
100%,87%,1,12,12,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$229.00 ,,,2,$25.00 ,3,60,8,20,36,311,14,94,9,10,9,9,10,9,0,0,strict,0,0,12
N/A,N/A,0,1,1,phone,1,0,1,Entire home/apt,4,2,2,2,Real Bed,$275.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,99%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$325.00 ,$100.00 ,$80.00 ,1,$0.00 ,1,1125,7,18,39,306,105,93,10,10,10,10,9,9,0,0,moderate,0,0,4
N/A,N/A,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Private room,4,1,1,1,Real Bed,$135.00 ,,,1,$0.00 ,1,1125,0,0,0,0,3,100,10,10,10,10,10,10,0,0,flexible,0,0,1
100%,92%,0,1,1,"email, phone, facebook, reviews",1,0,0,Private room,5,1,1,2,Real Bed,$125.00 ,$100.00 ,$30.00 ,1,$50.00 ,1,7,3,3,18,18,15,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,93%,0,12,12,"phone, reviews",1,0,1,Entire home/apt,1,1,0,1,Real Bed,$175.00 ,"$1,000.00 ",$200.00 ,0,$0.00 ,5,14,8,38,44,285,5,92,9,9,10,10,10,8,0,0,strict,0,0,10
N/A,N/A,0,1,1,"email, phone, jumio",1,0,1,Private room,1,1,1,1,Real Bed,$390.00 ,"$1,000.00 ",$75.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,moderate,0,0,1
86%,100%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,3,1,0,2,Real Bed,$160.00 ,$150.00 ,$60.00 ,1,$30.00 ,3,1125,4,4,4,249,1,,,,,,,,0,0,flexible,0,0,1
94%,84%,0,18,18,"email, phone, facebook, reviews, jumio, kba",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$184.00 ,$100.00 ,,1,$15.00 ,2,1125,0,9,33,308,29,79,9,8,8,9,8,9,0,0,moderate,0,0,7
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,3,1,0,1,Real Bed,$240.00 ,,$60.00 ,1,$0.00 ,2,1125,2,3,9,238,1,100,10,10,10,10,10,10,0,0,flexible,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$269.00 ,,$200.00 ,1,$0.00 ,3,365,29,59,89,364,5,90,8,9,9,6,9,8,0,0,super_strict_30,0,1,79
100%,86%,1,1,1,"email, phone, facebook, reviews, jumio",1,1,0,Entire home/apt,2,1,1,1,Real Bed,$225.00 ,,$45.00 ,1,$0.00 ,2,1125,1,1,13,13,28,97,10,10,10,10,10,10,0,0,strict,0,0,1
100%,95%,0,4,4,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$310.00 ,$100.00 ,$80.00 ,1,$0.00 ,1,1125,9,28,28,203,87,94,10,10,10,10,10,9,0,0,moderate,0,0,4
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$285.00 ,,,2,$100.00 ,2,7,0,0,0,31,20,87,9,10,9,10,10,9,0,0,moderate,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$299.00 ,,$200.00 ,1,$0.00 ,5,730,29,59,89,364,4,87,8,9,10,9,9,9,0,0,super_strict_30,0,1,79
100%,67%,0,15,15,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$289.00 ,,,1,$0.00 ,4,1125,10,40,70,70,25,90,10,10,10,10,9,9,0,0,strict,0,0,10
N/A,N/A,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,2,Real Bed,$190.00 ,,,1,$0.00 ,1,1125,0,0,0,17,1,,,,,,,,0,0,strict,0,0,1
100%,100%,0,4,4,"email, phone, reviews, jumio",1,1,1,Private room,2,2,1,1,Real Bed,$115.00 ,,$50.00 ,1,$70.00 ,2,1125,5,20,50,325,43,98,9,10,10,10,10,9,0,1,moderate,0,0,3
N/A,N/A,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,3,1,0,1,Real Bed,$225.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$200.00 ,$120.00 ,$40.00 ,2,$30.00 ,2,3,0,0,0,0,4,95,9,9,10,10,10,10,0,0,moderate,0,0,1
100%,93%,0,12,12,"phone, reviews",1,0,1,Entire home/apt,2,1,1,1,Real Bed,$175.00 ,"$1,000.00 ",$150.00 ,1,$0.00 ,5,36,0,0,0,259,6,93,10,9,10,9,10,9,0,0,strict,0,0,10
71%,98%,0,363,363,"email, phone, reviews, manual_offline, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$249.00 ,$400.00 ,$95.00 ,1,$0.00 ,3,1125,12,12,12,13,0,,,,,,,,0,1,strict,0,0,58
100%,67%,0,15,15,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$229.00 ,,,1,$0.00 ,4,1125,6,24,54,54,21,92,9,10,10,9,10,9,0,0,moderate,0,0,10
89%,100%,0,2,2,"email, phone, reviews, kba",1,1,1,Entire home/apt,2,1.5,1,1,Real Bed,$425.00 ,,,1,$0.00 ,3,1125,11,41,71,327,3,100,10,10,10,9,10,10,0,0,strict,0,0,1
N/A,N/A,0,1,1,"email, phone",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$200.00 ,,,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,1,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,10,2.5,3,9,Real Bed,$350.00 ,$500.00 ,$250.00 ,3,$50.00 ,1,1125,4,20,37,133,40,99,10,10,10,10,10,10,0,1,strict,0,0,1
100%,100%,0,2,2,"email, phone, reviews",1,0,0,Entire home/apt,3,1,1,2,Real Bed,$299.00 ,,,1,$0.00 ,1,1125,11,36,66,341,5,90,10,10,9,9,10,10,0,1,moderate,0,0,2
75%,100%,0,1,1,"email, phone",1,0,0,Entire home/apt,2,1,1,1,Real Bed,$350.00 ,,$90.00 ,1,$0.00 ,1,1125,0,0,0,0,0,,,,,,,,0,0,flexible,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$249.00 ,,$200.00 ,1,$0.00 ,4,365,5,35,65,340,2,90,8,9,9,9,9,6,0,0,super_strict_30,0,1,79
100%,100%,0,1,1,"email, phone, facebook, reviews, jumio",1,1,1,Entire home/apt,6,2,2,4,Real Bed,$375.00 ,,$130.00 ,4,$50.00 ,2,1125,10,23,49,315,9,100,10,10,10,10,10,10,0,0,strict,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$329.00 ,,$200.00 ,1,$0.00 ,4,365,0,4,34,309,1,80,6,10,8,10,10,8,0,0,super_strict_30,0,1,79
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$119.00 ,1,$0.00 ,2,1125,27,57,87,362,0,,,,,,,,0,0,strict,0,0,25
97%,100%,0,4,4,"email, phone, reviews, jumio",1,1,0,Entire home/apt,6,2,2,3,Real Bed,$300.00 ,$125.00 ,$80.00 ,6,$20.00 ,1,30,5,12,37,296,78,85,9,8,9,9,9,9,0,0,moderate,0,0,4
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$119.00 ,1,$0.00 ,2,1125,30,60,90,365,0,,,,,,,,0,0,strict,0,0,25
100%,67%,0,15,15,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$239.00 ,,,1,$0.00 ,4,1125,11,29,59,59,1,100,10,10,10,10,10,10,0,0,strict,0,0,10
100%,87%,1,12,12,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$219.00 ,,,2,$25.00 ,3,185,6,14,35,310,17,98,10,10,10,10,10,10,0,0,strict,0,0,12
92%,54%,0,45,45,"email, phone, reviews, kba",1,1,1,Entire home/apt,4,1,2,2,Real Bed,$365.00 ,,$85.00 ,2,$20.00 ,5,1125,0,0,0,6,0,,,,,,,,0,0,flexible,0,0,1
100%,91%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,6,2,2,3,Real Bed,$375.00 ,$100.00 ,$80.00 ,1,$0.00 ,1,1125,14,30,50,325,24,98,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,78%,0,3,3,"email, phone, reviews, jumio",1,1,0,Entire home/apt,3,1,1,2,Real Bed,$218.00 ,,,0,$0.00 ,1,1125,7,28,58,330,1,100,10,10,10,10,10,10,0,1,strict,0,0,1
89%,45%,0,558,558,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$329.00 ,,$150.00 ,1,$0.00 ,4,365,0,4,34,309,3,100,9,10,10,9,8,9,0,0,super_strict_30,0,1,79
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$199.00 ,1,$0.00 ,2,1125,30,60,90,365,0,,,,,,,,0,0,strict,0,0,25
100%,96%,0,1,1,"email, phone, reviews, weibo, jumio",1,1,1,Shared room,2,1,1,1,Airbed,$95.00 ,$100.00 ,,1,$30.00 ,1,1125,18,44,59,59,45,95,10,9,10,10,10,9,0,0,strict,0,0,1
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$119.00 ,1,$0.00 ,2,1125,30,60,90,365,0,,,,,,,,0,0,strict,0,0,25
100%,61%,0,3,3,"email, phone, reviews",1,0,0,Entire home/apt,3,1,1,1,Real Bed,$199.00 ,$100.00 ,$30.00 ,2,$25.00 ,2,1125,14,36,66,341,0,,,,,,,,0,0,flexible,0,0,3
100%,91%,0,1,1,"email, phone, google, reviews, jumio",1,1,0,Entire home/apt,4,1,1,1,Real Bed,$150.00 ,$100.00 ,,2,$25.00 ,1,13,0,0,0,154,4,93,10,9,10,10,9,9,0,0,flexible,0,0,1
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$119.00 ,1,$0.00 ,2,1125,30,60,90,359,0,,,,,,,,0,0,strict,0,0,25
100%,100%,0,1,1,"email, phone, google, reviews, jumio",1,1,0,Entire home/apt,2,1,1,1,Real Bed,$140.00 ,$200.00 ,$40.00 ,2,$100.00 ,1,1125,4,14,44,134,14,99,10,10,10,10,10,10,0,1,strict,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews, sent_id",1,1,1,Private room,2,1,1,1,Real Bed,$300.00 ,$350.00 ,$35.00 ,2,$50.00 ,2,30,0,0,0,0,1,100,10,10,10,10,10,10,0,0,moderate,0,0,1
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$119.00 ,1,$0.00 ,2,1125,15,45,75,350,0,,,,,,,,0,0,strict,0,0,25
100%,50%,0,1,1,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,2,2,2,Real Bed,$300.00 ,,,1,$0.00 ,1,1125,26,56,86,361,1,,,,,,,,0,0,flexible,0,0,1
98%,94%,0,3,3,"email, phone, reviews",1,0,1,Private room,1,1,1,1,Real Bed,$125.00 ,,,1,$35.00 ,1,1125,14,42,72,99,27,85,9,8,10,10,9,8,0,0,moderate,0,0,3
100%,36%,0,307,307,"email, phone, reviews, jumio",1,1,1,Entire home/apt,5,2,2,2,Real Bed,$119.00 ,,$119.00 ,1,$0.00 ,2,1125,30,55,85,360,0,,,,,,,,0,0,strict,0,0,25
100%,100%,0,1,1,"email, phone, reviews",1,0,1,Private room,4,1,1,2,Real Bed,$300.00 ,,,1,$0.00 ,1,7,3,3,22,22,1,,,,,,,,0,0,flexible,0,0,1
97%,84%,0,11,11,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,1,1,Real Bed,$150.00 ,$500.00 ,$200.00 ,1,$0.00 ,14,1125,10,24,54,329,6,90,9,9,10,10,10,9,0,0,strict,0,0,7
N/A,N/A,0,1,1,"email, phone, kba",1,0,1,Entire home/apt,4,1,1,1,Real Bed,$287.00 ,,,1,$0.00 ,7,7,3,3,3,3,0,,,,,,,,0,0,flexible,0,0,1
100%,87%,1,12,12,"email, phone, reviews",1,0,1,Entire home/apt,4,1,1,2,Real Bed,$249.00 ,,,2,$25.00 ,3,60,4,14,33,296,5,96,10,10,10,10,10,10,0,0,strict,0,0,12
100%,91%,0,52,52,"email, phone, reviews, jumio",1,1,1,Entire home/apt,2,1,0,1,Real Bed,$155.00 ,,$225.00 ,1,$0.00 ,7,1125,3,10,33,308,2,100,10,9,10,10,9,9,0,0,strict,0,0,50
50%,100%,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,6,2,2,3,Pull-out Sofa,$250.00 ,$100.00 ,$100.00 ,1,$0.00 ,1,1125,0,7,23,23,7,93,10,10,9,9,10,9,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, jumio",1,0,1,Entire home/apt,4,1,2,2,Real Bed,$325.00 ,,,1,$0.00 ,3,31,7,14,44,313,0,,,,,,,,0,1,strict,0,0,1
97%,100%,0,4,4,"email, phone, reviews, jumio",1,1,0,Entire home/apt,3,1,1,1,Real Bed,$240.00 ,$100.00 ,$50.00 ,2,$25.00 ,1,1125,0,19,49,322,35,86,10,9,9,9,9,9,0,0,moderate,0,0,4
100%,100%,0,3,3,"email, phone, reviews, jumio",1,1,1,Entire home/apt,4,1,1,2,Real Bed,$240.00 ,,$25.00 ,1,$0.00 ,1,1125,0,0,0,0,2,100,10,10,10,10,10,10,0,0,moderate,0,0,1
