host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count
100%,67%,0,1,1,"email, phone, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$60.00 ,,,2,$50.00 ,2,5,0,0,0,248,117,92,10,10,10,10,9,9,0,0,moderate,0,0,1
90%,94%,1,1,1,"email, phone, reviews, kba",1,1,1,Entire home/apt,3,1,1,1,Real Bed,$95.00 ,$250.00 ,$35.00 ,1,$0.00 ,1,180,8,20,46,258,53,99,10,10,10,10,10,10,0,0,strict,0,0,1
77%,89%,0,2,2,"email, phone, reviews",1,0,0,Entire home/apt,2,1,0,1,Real Bed,$89.00 ,$223.00 ,$45.00 ,2,$39.00 ,3,1125,19,43,73,348,3,100,10,10,10,10,10,10,0,0,strict,0,0,2
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Entire home/apt,3,1,0,2,Real Bed,$110.00 ,,$25.00 ,1,$25.00 ,2,1125,17,40,58,333,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, reviews, jumio",1,1,0,Private room,2,1,1,1,Pull-out Sofa,$65.00 ,,$20.00 ,1,$15.00 ,1,1125,6,10,10,259,0,,,,,,,,0,0,flexible,0,0,1
100%,100%,0,1,1,"email, phone, linkedin, reviews, jumio, kba",1,1,1,Entire home/apt,7,2,3,3,Real Bed,$285.00 ,$500.00 ,$125.00 ,5,$25.00 ,3,1125,16,34,64,331,2,80,10,10,10,10,8,6,0,0,strict,0,0,1
50%,100%,0,1,1,"email, phone, facebook",1,0,1,Entire home/apt,4,1,1,1,Real Bed,$140.00 ,,$125.00 ,4,$0.00 ,3,730,17,24,54,144,1,,,,,,,,0,0,moderate,0,0,1
100%,100%,0,2,2,"email, phone, facebook, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$70.00 ,,$10.00 ,1,$10.00 ,2,1125,3,23,53,328,23,93,9,8,10,10,10,9,0,0,strict,0,0,2
93%,73%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$95.00 ,,,1,$20.00 ,1,14,30,60,90,365,14,93,9,9,10,10,10,9,0,0,flexible,0,0,2
N/A,N/A,0,1,1,"email, phone, facebook, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$55.00 ,,,1,$0.00 ,300,365,0,0,0,0,3,100,10,9,9,9,10,10,0,0,flexible,0,0,1
100%,89%,1,1,1,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$80.00 ,,,1,$0.00 ,2,8,0,8,26,301,57,99,10,10,10,10,10,10,0,0,moderate,0,0,1
70%,85%,0,2,2,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$120.00 ,,,1,$0.00 ,2,1125,7,17,47,109,58,97,10,10,10,10,9,10,0,0,flexible,0,0,1
100%,89%,1,4,4,"email, phone, reviews, kba",1,1,1,Private room,2,1,1,1,Real Bed,$65.00 ,,,1,$0.00 ,1,1125,0,0,0,0,1,100,10,8,10,10,10,10,0,0,flexible,0,0,4
100%,100%,1,1,1,"email, phone, reviews, kba",1,1,1,Private room,4,1,1,2,Real Bed,$100.00 ,,,2,$20.00 ,2,14,1,3,3,23,46,97,10,10,10,10,9,10,0,0,moderate,0,0,1
100%,100%,1,1,1,"email, phone, reviews",1,0,0,Private room,1,1,1,1,Real Bed,$65.00 ,,,1,$0.00 ,3,30,7,13,43,43,68,96,10,9,10,10,9,10,0,0,moderate,0,0,1
71%,100%,0,1,1,"email, phone, manual_online, reviews, manual_offline",1,1,1,Private room,1,1,1,1,Real Bed,$60.00 ,,,1,$0.00 ,2,1125,5,35,65,340,0,,,,,,,,0,0,flexible,0,0,1
36%,93%,0,1,1,"email, phone, google, reviews, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$63.00 ,,,1,$0.00 ,2,5,0,0,0,0,3,73,9,5,10,10,9,9,0,0,flexible,0,0,1
100%,50%,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$75.00 ,$200.00 ,,1,$0.00 ,1,1125,0,0,0,250,4,100,9,10,10,9,10,9,0,0,flexible,0,0,1
N/A,N/A,0,1,1,"email, phone, reviews",1,0,1,Private room,2,1,1,1,Real Bed,$65.00 ,,$10.00 ,1,$25.00 ,1,1125,0,0,0,0,2,90,9,9,9,9,10,9,0,0,strict,0,0,1
100%,100%,0,1,1,"email, phone, facebook, reviews, kba",1,1,1,Private room,1,1,1,1,Real Bed,$110.00 ,,,1,$0.00 ,1,34,11,41,71,346,7,94,10,10,10,9,9,9,0,0,strict,0,0,1
73%,100%,0,4,4,"email, phone, reviews, manual_offline, jumio",1,1,1,Private room,2,1,1,1,Real Bed,$46.00 ,$200.00 ,$50.00 ,2,$25.00 ,2,40,8,32,62,62,18,82,8,7,9,9,9,8,0,1,strict,0,0,4
60%,60%,0,2,2,"email, phone, facebook, reviews, jumio, kba",1,1,1,Private room,3,1,1,1,Real Bed,$75.00 ,$300.00 ,$50.00 ,1,$0.00 ,2,7,0,0,0,0,0,,,,,,,,0,0,strict,0,0,2
